X,Y,id,label,insee,label_commune,departement,label_departement,type,label_type,typologie,influence,date_debut,date_fin,en_service,OBJECTID
6.71364229544072,45.9235346038539,FR33220,PASSY,,Passy,74,Haute-Savoie,1,FIXE,Péri Urbain,fond,2006/06/30 00:00:00+00,,1,165
6.84586801968367,45.9071321278509,FR33232,BOSSONS,,Chamonix-Mont-Blanc,74,Haute-Savoie,1,FIXE,Péri Urbain,trafic,2001/12/05 00:00:00+00,,1,166
6.88731909547987,45.8786123771989,FR33233,Aiguille du Midi,,Chamonix-Mont-Blanc,74,Haute-Savoie,1,FIXE,Rural Régional,fond,2008/02/08 00:00:00+00,,1,167
6.64125955019428,45.9325956399477,FR33236,Sallanches Régie,,Sallanches,74,Haute-Savoie,1,FIXE,Péri Urbain,fond,2017/01/06 00:00:00+00,,1,168
5.82083304956353,46.0722257822359,FR33302,St Germain/Rhône,,Saint-Germain-sur-Rhône,74,Haute-Savoie,1,FIXE,Rural Proche,fond,2002/10/29 00:00:00+00,,1,169
5.2265856371805,46.2117551060231,FR33305,Bourg-en-Bresse,,Bourg-en-Bresse,1,Ain,1,FIXE,Urbain,fond,2009/01/01 00:00:00+00,,1,170
5.896364,45.582239999057,FR33706,CHAMBERY BISSY,,Chambéry,73,Savoie,1,FIXE,Péri Urbain,industrielle,2020/01/20 00:00:00+00,,1,171
4.87628868991908,44.8702443865239,FR36001,Valence Périurb. Sud,,Portes-lès-Valence,26,Drôme,1,FIXE,Péri Urbain,fond,1999/10/05 00:00:00+00,,1,172
4.89367830232166,44.9331852882472,FR36002,Valence Urb. Centre,,Valence,26,Drôme,1,FIXE,Urbain,fond,2000/11/29 00:00:00+00,,1,173
4.6735855524336,44.6759393863694,FR36007,Saint Bauzile CECA,,Saint-Bauzile,7,Ardèche,1,FIXE,Rural Proche,industrielle,2007/04/01 00:00:00+00,,1,174
5.0442998925346,45.042497457186,FR36019,Romans-sur-Isère,,Romans-sur-Isère,26,Drôme,1,FIXE,Urbain,fond,2002/06/07 00:00:00+00,,1,175
5.2789719118796,44.5694417332327,FR36021,Drôme Rurale Sud-SND,,Saint-Nazaire-le-Désert,26,Drôme,1,FIXE,Rural National,fond,2013/12/19 00:00:00+00,,1,176
4.89013307767371,44.9492000725268,FR36032,A7 Valence Est,,Bourg-lès-Valence,26,Drôme,1,FIXE,Urbain,trafic,2017/12/28 00:00:00+00,,1,177
6.578391,45.3187689990568,FR47127,Les Ménuires,,Les Belleville,73,Savoie,1,FIXE,Rural Régional,fond,2021/08/19 00:00:00+00,,1,178
